sku,name,technicalName,category,manufacturer,marketedBy,photos,packagingSize,packagingUnit,mrp,dealerPrice,ingredientName,ingredientPercentage
INS001,MaxKill Pro,Chlorpyrifos 20% EC,6766be47c213c21aae87fc2f,6766ae060114ae61a9be6b07,AgroChem Solutions,photo1.jpg,1|5,liter|liter,800|3500,720|3150,Chlorpyrifos|Emulsifiers,20|80
HRB001,WeedClear Plus,Glyphosate 41% SL,6766be47c213c21aae87fc32,6766ae060114ae61a9be6b07,GreenField Corp,photo2.jpg,500|1000,ml|ml,450|800,405|720,Glyphosate|Surfactants,41|59
FNG001,FungiShield,Carbendazim 50% WP,6766be47c213c21aae87fc35,6766ae060114ae61a9be6b07,CropGuard Inc,photo3.jpg,100|250,g|g,300|700,270|630,Carbendazim|Inert Materials,50|50
BIO001,BioGrow Plus,Azotobacter 1%,6766be47c213c21aae87fc3e,6766ae060114ae61a9be6b07,OrganicLife Ltd,photo4.jpg,500|1000,g|g,200|350,180|315,Azotobacter|Carrier Material,1|99
ORF001,VermiFert,Organic Compost,6766be47c213c21aae87fc38,6766ae060114ae61a9be6b07,EcoFarms,photo5.jpg,1|5,kg|kg,100|450,90|405,Vermicompost|Organic Matter,70|30
CHF001,UreaMax,Urea 46%,6766be47c213c21aae87fc3b,6766ae060114ae61a9be6b07,ChemFert Ltd,photo6.jpg,10|25,kg|kg,500|1200,450|1080,Urea|Coating Material,46|54
GRP001,GrowthBoost,GA3 0.001% L,6766be47c213c21aae87fc41,6766ae060114ae61a9be6b07,PlantCare Inc,photo7.jpg,100|250,ml|ml,1200|2800,1080|2520,Gibberellic Acid|Stabilizers,0.001|99.999
INH001,GrowStop,Maleic Hydrazide 50%,6766be47c213c21aae87fc44,6766ae060114ae61a9be6b07,AgriTech Solutions,photo8.jpg,250|500,ml|ml,900|1700,810|1530,Maleic Hydrazide|Carriers,50|50
HYB001,SuperCorn F1,Hybrid Maize Seeds,6766be47c213c21aae87fc47,6766ae060114ae61a9be6b07,SeedTech Corp,photo9.jpg,1|5,kg|kg,750|3500,675|3150,Hybrid Corn|Treatment Material,98|2
GMO001,BtCotton Pro,GMO Cotton Seeds,6766be47c213c21aae87fc4a,6766ae060114ae61a9be6b07,GeneTech Seeds,photo10.jpg,500|1000,g|g,1500|2800,1350|2520,GMO Cotton|Coating,95|5
